epoch,loss,val_loss,Model,Crypto,Data %,File
4,0.7316300272941589,0.1075125932693481,RNN,ETH,0.1,rnn_eth_log_0_1pct.csv
5,0.7123963832855225,0.0897373259067535,RNN,ETH,0.1,rnn_eth_log_0_1pct.csv
6,0.645813524723053,0.0642310306429863,RNN,ETH,0.1,rnn_eth_log_0_1pct.csv
7,0.7028290629386902,0.0498673394322395,RNN,ETH,0.1,rnn_eth_log_0_1pct.csv
8,0.6720311641693115,0.0451741777360439,RNN,ETH,0.1,rnn_eth_log_0_1pct.csv
9,0.67524653673172,0.0464350804686546,RNN,ETH,0.1,rnn_eth_log_0_1pct.csv
0,2.818899393081665,500.413330078125,RNN,ETH,10.0,rnn_eth_log_10pct.csv
1,0.6929287910461426,447.9755554199219,RNN,ETH,10.0,rnn_eth_log_10pct.csv
2,0.5940435528755188,416.1983642578125,RNN,ETH,10.0,rnn_eth_log_10pct.csv
3,0.5185949802398682,392.3018798828125,RNN,ETH,10.0,rnn_eth_log_10pct.csv
4,0.4511519074440002,366.5514831542969,RNN,ETH,10.0,rnn_eth_log_10pct.csv
5,0.3920608162879944,340.2745361328125,RNN,ETH,10.0,rnn_eth_log_10pct.csv
6,0.3334160149097442,321.6695861816406,RNN,ETH,10.0,rnn_eth_log_10pct.csv
7,0.2818577587604522,301.86395263671875,RNN,ETH,10.0,rnn_eth_log_10pct.csv
8,0.241304874420166,281.93310546875,RNN,ETH,10.0,rnn_eth_log_10pct.csv
9,0.1996852904558181,267.27801513671875,RNN,ETH,10.0,rnn_eth_log_10pct.csv
0,9.216490745544434,0.3332599699497223,RNN,ETH,1.0,rnn_eth_log_1pct.csv
1,0.8396320939064026,0.1104072332382202,RNN,ETH,1.0,rnn_eth_log_1pct.csv
2,0.800442099571228,0.0707402601838111,RNN,ETH,1.0,rnn_eth_log_1pct.csv
3,0.7537630796432495,0.1385015845298767,RNN,ETH,1.0,rnn_eth_log_1pct.csv
4,0.7146806716918945,0.0690283775329589,RNN,ETH,1.0,rnn_eth_log_1pct.csv
5,0.6909728050231934,0.0105091650038957,RNN,ETH,1.0,rnn_eth_log_1pct.csv
6,0.6811102032661438,0.0482207685708999,RNN,ETH,1.0,rnn_eth_log_1pct.csv
7,0.6484024524688721,0.040122877806425,RNN,ETH,1.0,rnn_eth_log_1pct.csv
8,0.645666778087616,0.026261294260621,RNN,ETH,1.0,rnn_eth_log_1pct.csv
9,0.6371147632598877,0.0331691540777683,RNN,ETH,1.0,rnn_eth_log_1pct.csv
0,1.0090701580047607,0.31120565533638,TRANSFORMER,BTC,0.1,transformer_btc_log_0_1pct.csv
1,0.0381393507122993,0.2798244655132293,TRANSFORMER,BTC,0.1,transformer_btc_log_0_1pct.csv
2,0.0340608246624469,0.2209244072437286,TRANSFORMER,BTC,0.1,transformer_btc_log_0_1pct.csv
3,0.0295962113887071,0.1611753404140472,TRANSFORMER,BTC,0.1,transformer_btc_log_0_1pct.csv
4,0.0240670051425695,0.1659507900476455,TRANSFORMER,BTC,0.1,transformer_btc_log_0_1pct.csv
5,0.0219209212809801,0.1382595151662826,TRANSFORMER,BTC,0.1,transformer_btc_log_0_1pct.csv
6,0.0202560871839523,0.2095500379800796,TRANSFORMER,BTC,0.1,transformer_btc_log_0_1pct.csv
7,0.0188763551414012,0.1847673058509826,TRANSFORMER,BTC,0.1,transformer_btc_log_0_1pct.csv
8,0.0177821405231952,0.1776290386915207,TRANSFORMER,BTC,0.1,transformer_btc_log_0_1pct.csv
9,0.0179043263196945,0.1223317012190818,TRANSFORMER,BTC,0.1,transformer_btc_log_0_1pct.csv
0,86.30763244628906,133229.703125,TRANSFORMER,BTC,10.0,transformer_btc_log_10pct.csv
1,3.713948011398315,126527.6796875,TRANSFORMER,BTC,10.0,transformer_btc_log_10pct.csv
2,3.065885066986084,124478.0,TRANSFORMER,BTC,10.0,transformer_btc_log_10pct.csv
3,2.746598482131958,124786.7109375,TRANSFORMER,BTC,10.0,transformer_btc_log_10pct.csv
4,2.482984066009521,130662.4140625,TRANSFORMER,BTC,10.0,transformer_btc_log_10pct.csv
5,2.319337844848633,128901.953125,TRANSFORMER,BTC,10.0,transformer_btc_log_10pct.csv
6,2.2137739658355717,133933.125,TRANSFORMER,BTC,10.0,transformer_btc_log_10pct.csv
7,2.0402731895446777,135073.734375,TRANSFORMER,BTC,10.0,transformer_btc_log_10pct.csv
0,0.7645940184593201,1.0154078006744385,TRANSFORMER,BTC,1.0,transformer_btc_log_1pct.csv
1,0.0317524075508117,0.7218852639198303,TRANSFORMER,BTC,1.0,transformer_btc_log_1pct.csv
2,0.0234493929892778,0.9880354404449464,TRANSFORMER,BTC,1.0,transformer_btc_log_1pct.csv
3,0.02045045979321,1.2424864768981934,TRANSFORMER,BTC,1.0,transformer_btc_log_1pct.csv
4,0.0182706769555807,0.8130200505256653,TRANSFORMER,BTC,1.0,transformer_btc_log_1pct.csv
5,0.016980268061161,0.4944014251232147,TRANSFORMER,BTC,1.0,transformer_btc_log_1pct.csv
6,0.015895364806056,0.8969755172729492,TRANSFORMER,BTC,1.0,transformer_btc_log_1pct.csv
7,0.0150081627070903,0.7872784733772278,TRANSFORMER,BTC,1.0,transformer_btc_log_1pct.csv
8,0.0142834288999438,0.5713627338409424,TRANSFORMER,BTC,1.0,transformer_btc_log_1pct.csv
9,0.0141972620040178,0.6879681944847107,TRANSFORMER,BTC,1.0,transformer_btc_log_1pct.csv
0,52.35386657714844,12.374849319458008,TRANSFORMER,ETH,0.1,transformer_eth_log_0_1pct.csv
